hamburger,漢堡
hot dog,熱狗
pizza,披薩
french fries,薯條
fried chicken,炸雞
sandwich,三明治
steak,牛排
cheese,起司
bacon,培根
sausage,香腸
pancake,鬆餅
waffle,格子鬆餅
donut,甜甜圈
bagel,貝果
bread,麵包
pasta,義大利麵
spaghetti,義大利直麵
macaroni and cheese,起司通心粉
soup,湯
salad,沙拉
taco,塔可餅
burrito,墨西哥捲餅
nachos,烤起司玉米片
mashed potatoes,馬鈴薯泥
baked potato,烤馬鈴薯
corn,玉米
chicken wings,雞翅
chicken nuggets,雞塊
popcorn,爆米花
potato chips,洋芋片
pretzel,蝴蝶餅
pie,派
apple pie,蘋果派
cake,蛋糕
cupcake,杯子蛋糕
cookie,餅乾
brownie,布朗尼
ice cream,冰淇淋
milkshake,奶昔
soda,汽水
coffee,咖啡
tea,茶
juice,果汁
milk,牛奶
water,水
cereal,麥片
oatmeal,燕麥粥
eggs,雞蛋
toast,吐司
butter,奶油
peanut butter,花生醬
jelly,果醬
honey,蜂蜜
syrup,糖漿
ketchup,番茄醬
mustard,芥末醬
mayonnaise,美乃滋
hot sauce,辣椒醬
barbecue sauce,烤肉醬
meatloaf,烘肉卷
roast beef,烤牛肉
pork chop,豬排
ribs,肋排
chili,辣肉醬
hash browns,薯餅
onion rings,洋蔥圈
clam chowder,蛤蜊巧達湯
shrimp,蝦子
lobster,龍蝦
crab,螃蟹
salmon,鮭魚
tuna,鮪魚
turkey,火雞肉
ham,火腿
roast chicken,烤雞
sushi,壽司
ramen,拉麵
pho,越南河粉
curry,咖哩
meatballs,肉丸
lasagna,千層麵
garlic bread,大蒜麵包
french toast,法式吐司
scrambled eggs,炒蛋
fried egg,煎蛋
boiled egg,水煮蛋
omelet,歐姆蛋
muffin,瑪芬
croissant,可頌
biscuit,比司吉
cornbread,玉米麵包
wrap,捲餅
quesadilla,墨西哥起司薄餅
fajita,法士達
guacamole,酪梨醬
salsa,莎莎醬
sour cream,酸奶油
yogurt,優格
pudding,布丁
jello,果凍
