apple,蘋果
banana,香蕉
orange,橘子
grape,葡萄
strawberry,草莓
watermelon,西瓜
blueberry,藍莓
peach,水蜜桃
pear,梨子
cherry,櫻桃
lemon,檸檬
lime,萊姆
pineapple,鳳梨
mango,芒果
plum,李子
raspberry,覆盆子
blackberry,黑莓
cantaloupe,哈密瓜
honeydew,洋香瓜
kiwi,奇異果
grapefruit,葡萄柚
pomegranate,石榴
apricot,杏桃
cranberry,蔓越莓
avocado,酪梨
coconut,椰子
papaya,木瓜
fig,無花果
nectarine,油桃
tangerine,蜜橘
passion fruit,百香果
guava,芭樂
dragon fruit,火龍果
starfruit,楊桃
lychee,荔枝
persimmon,柿子
date,椰棗
blood orange,血橙
clementine,小柑橘
plantain,芭蕉
boysenberry,波森莓
mulberry,桑葚
gooseberry,鵝莓
elderberry,接骨木莓
kumquat,金桔
quince,榲桲
melon,香瓜
pomelo,柚子
jackfruit,波羅蜜
durian,榴槤
rambutan,紅毛丹
longan,龍眼
tamarind,羅望子
loquat,枇杷
mangosteen,山竹
acai,巴西莓
goji berry,枸杞
huckleberry,黑橘
currant,黑醋栗
loganberry,羅甘莓
cloudberry,雲莓
marionberry,馬里恩莓
yuzu,日本柚子
soursop,刺番荔枝
cherimoya,秘魯番荔枝
salak,蛇皮果
jujube,紅棗
breadfruit,麵包果
sugar apple,釋迦
feijoa,斐濟果
kiwano,刺角瓜
ugli fruit,醜橘
meyer lemon,梅爾檸檬
key lime,墨西哥萊姆
finger lime,手指檸檬
tomato,番茄
cucumber,小黃瓜
bell pepper,甜椒
eggplant,茄子
pumpkin,南瓜
zucchini,櫛瓜
olive,橄欖
chili pepper,辣椒
jalapeno,墨西哥辣椒
butternut squash,奶油瓜
acorn squash,橡子南瓜
bitter melon,苦瓜
okra,秋葵
green bean,四季豆
pea,豌豆
snow pea,甜豆
sweet corn,甜玉米
chayote,佛手瓜
capers,酸豆
gac,木鱉果
ackee,阿開木
noni,諾麗果
mamey sapote,馬米果
white sapote,白柿
black sapote,黑柿
