ant,螞蟻
bee,蜜蜂
butterfly,蝴蝶
mosquito,蚊子
fly,蒼蠅
cockroach,蟑螂
spider,蜘蛛
ladybug,瓢蟲
beetle,甲蟲
grasshopper,蚱蜢
cricket,蟋蟀
dragonfly,蜻蜓
firefly,螢火蟲
moth,蛾
wasp,黃蜂
hornet,虎頭蜂
termite,白蟻
flea,跳蚤
tick,壁蝨
lice,蝨子
bedbug,臭蟲
mantis,螳螂
cicada,蟬
caterpillar,毛毛蟲
centipede,蜈蚣
millipede,馬陸
scorpion,蠍子
locust,蝗蟲
fruit fly,果蠅
gnat,小黑蚊
silverfish,衣魚
stick insect,竹節蟲
leaf insect,葉脩
stink bug,椿象
aphid,蚜蟲
earwig,蠼螋
water strider,水黽
dung beetle,糞金龜
stag beetle,鍬形蟲
rhinoceros beetle,獨角仙
weevil,象鼻蟲
horsefly,馬蠅
sandfly,沙蠅
mealworm,麵包蟲
silkworm,蠶
bumblebee,熊蜂
swallowtail,燕尾蝶
leafhopper,葉蟬
mealybug,粉介殼蟲
lacewing,草蛉
