plate,盤子
bowl,碗
cup,杯子
mug,馬克杯
glass,玻璃杯
fork,叉子
spoon,湯匙
knife,刀子
chopsticks,筷子
saucer,茶碟
teapot,茶壺
pan,平底鍋
frying pan,煎鍋
pot,鍋子
wok,炒鍋
saucepan,湯鍋
cutting board,砧板
spatula,鍋鏟
ladle,湯勺
whisk,打蛋器
tongs,夾子
peeler,削皮刀
grater,刨絲器
strainer,濾網
colander,濾水籃
measuring cup,量杯
measuring spoon,量匙
rolling pin,桿麵棍
oven mitt,隔熱手套
apron,圍裙
can opener,開罐器
bottle opener,開瓶器
corkscrew,軟木塞鑽
blender,果汁機
mixer,攪拌機
food processor,食物調理機
toaster,烤麵包機
microwave,微波爐
oven,烤箱
stove,瓦斯爐
rice cooker,電鍋
coffee maker,咖啡機
kettle,熱水壺
dishwasher,洗碗機
refrigerator,冰箱
freezer,冷凍庫
sink,水槽
dish rack,瀝水架
sponge,海綿
paper towel,廚房紙巾
