brain,大腦
heart,心臟
lung,肺臟
stomach,胃
liver,肝臟
kidney,腎臟
small intestine,小腸
large intestine,大腸
skin,皮膚
eye,眼睛
ear,耳朵
nose,鼻子
tongue,舌頭
spleen,脾臟
pancreas,胰臟
gallbladder,膽囊
bladder,膀胱
esophagus,食道
thyroid,甲狀腺
appendix,盲腸
muscle,肌肉
bone,骨頭
blood,血液
fat,脂肪
nerve,神經
cartilage,軟骨
tendon,肌腱
ligament,韌帶
connective tissue,結締組織
epithelial tissue,上皮組織
head,頭
hair,頭髮
face,臉
forehead,額頭
eyebrow,眉毛
eyelash,睫毛
cheek,臉頰
mouth,嘴巴
lip,嘴唇
tooth,牙齒
chin,下巴
neck,脖子
shoulder,肩膀
arm,手臂
elbow,手肘
wrist,手腕
hand,手
finger,手指
thumb,大拇指
chest,胸部
belly,肚子
back,背部
waist,腰
hip,臀部
leg,腿
thigh,大腿
knee,膝蓋
calf,小腿
ankle,腳踝
foot,腳
toe,腳趾
heel,腳跟
