basketball,籃球
baseball,棒球
soccer,足球
tennis,網球
badminton,羽毛球
table tennis,桌球
volleyball,排球
golf,高爾夫球
swimming,游泳
running,跑步
jogging,慢跑
marathon,馬拉松
cycling,自行車
boxing,拳擊
wrestling,角力
judo,柔道
taekwondo,跆拳道
karate,空手道
gymnastics,體操
weightlifting,舉重
surfing,衝浪
skiing,滑雪
snowboarding,單板滑雪
ice skating,溜冰
figure skating,花式溜冰
rugby,橄欖球
American football,美式足球
hockey,曲棍球
ice hockey,冰上曲棍球
cricket,板球
archery,射箭
fencing,擊劍
rowing,划船
sailing,帆船
diving,跳水
scuba diving,水肺潛水
hiking,健行
mountain climbing,登山
rock climbing,攀岩
yoga,瑜伽
Pilates,皮拉提斯
aerobics,有氧運動
martial arts,武術
bowling,保齡球
billiards,撞球
darts,飛鏢
horse racing,賽馬
equestrian,馬術
triathlon,鐵人三項
water polo,水球
