cabbage,高麗菜
broccoli,青花菜
cauliflower,白花椰菜
spinach,菠菜
lettuce,萵苣
celery,芹菜
carrot,胡蘿蔔
potato,馬鈴薯
sweet potato,地瓜
onion,洋蔥
garlic,大蒜
ginger,薑
scallion,蔥
leek,韭蔥
cucumber,小黃瓜
tomato,番茄
eggplant,茄子
bell pepper,甜椒
chili pepper,辣椒
pumpkin,南瓜
zucchini,櫛瓜
corn,玉米
mushroom,蘑菇
pea,豌豆
green bean,四季豆
soybean,大豆
mung bean,綠豆
radish,蘿蔔
turnip,蕪菁
beet,甜菜根
asparagus,蘆筍
bamboo shoot,竹筍
bok choy,青江菜
napa cabbage,大白菜
water spinach,空心菜
amaranth,莧菜
kale,羽衣甘藍
Brussels sprout,球芽甘藍
artichoke,朝鮮薊
okra,秋葵
bitter melon,苦瓜
winter melon,冬瓜
lotus root,蓮藕
taro,芋頭
yam,山藥
watercress,西洋菜
cilantro,香菜
basil,九層塔
mint,薄荷
fennel,茴香
