car,汽車
bus,公車
taxi,計程車
train,火車
subway,地鐵
MRT,捷運
high-speed rail,高鐵
bicycle,腳踏車
motorcycle,摩托車
scooter,機車
airplane,飛機
helicopter,直升機
boat,小船
ship,船
ferry,渡輪
yacht,遊艇
submarine,潛水艇
truck,卡車
pickup truck,皮卡車
van,廂型車
minivan,休旅車
RV,露營車
ambulance,救護車
fire engine,消防車
police car,警車
tractor,牽引機
forklift,堆高機
bulldozer,推土機
excavator,怪手
crane,吊車
garbage truck,垃圾車
school bus,校車
tram,輕軌 / 電車
cable car,纜車
hot air balloon,熱氣球
blimp,飛船
hovercraft,氣墊船
cruise ship,郵輪
speedboat,快艇
canoe,獨木舟
kayak,皮艇
raft,木筏
carriage,馬車
skateboard,滑板
roller skates,溜冰鞋
segway,賽格威
unicycle,單輪車
wheelchair,輪椅
rocket,火箭
space shuttle,太空梭
